species,scientificName,family,genus,decimalLatitude,decimalLongitude,stateProvince,locality,municipality,year,month,day,basisOfRecord,occurrenceStatus,taxonRank,kingdom,phylum,class,order,gbifID,license
Copernicia prunifera,Copernicia prunifera (Mill.) H.E.Moore,Arecaceae,Copernicia,-6.702918,-38.959629,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Arecales,5938076475,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Delonix regia,Delonix regia (Bojer ex Hook.) Raf.,Fabaceae,Delonix,-4.166913,-38.123311,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,5938098723,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Richardia grandiflora,Richardia grandiflora (Cham. & Schltdl.) Steud.,Rubiaceae,Richardia,-3.941652,-38.282445,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,5938099135,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Copernicia prunifera,Copernicia prunifera (Mill.) H.E.Moore,Arecaceae,Copernicia,-6.703539,-38.959497,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Arecales,5938149554,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Passiflora subrotunda,Passiflora subrotunda Mast.,Passifloraceae,Passiflora,-4.155675,-38.108964,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,5938214599,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Delonix regia,Delonix regia (Bojer ex Hook.) Raf.,Fabaceae,Delonix,-3.948746,-38.276104,Ceará,,,2026,1,3,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,5938257096,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Euploca polyphylla,Euploca polyphylla (Lehm.) J.I.M.Melo & Semir,Heliotropiaceae,Euploca,-4.155531,-38.1088,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Boraginales,5938333132,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Turnera subulata,Turnera subulata J.E.Sm.,Turneraceae,Turnera,-4.660015,-37.448707,Ceará,,,2026,1,5,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,5938425977,http://creativecommons.org/licenses/by/4.0/legalcode
Cyperus ligularis,Cyperus ligularis L.,Cyperaceae,Cyperus,-6.703421,-38.959369,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,5938430147,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Laguncularia racemosa,Laguncularia racemosa (L.) C.F.Gaertn.,Combretaceae,Laguncularia,-4.691769,-37.360861,Ceará,,,2026,1,2,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Myrtales,5938452231,http://creativecommons.org/licenses/by/4.0/legalcode
Opuntia dillenii,Opuntia dillenii (Ker Gawl.) Haw.,Cactaceae,Opuntia,-4.155822,-38.108758,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,5938504536,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Cereus jamacaru,Cereus jamacaru subsp. jamacaru,Cactaceae,Cereus,-6.702929,-38.96009,Ceará,,,2026,1,1,HUMAN_OBSERVATION,PRESENT,SUBSPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,5938505416,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Calotropis procera,Calotropis procera (Aiton) W.T.Aiton,Apocynaceae,Calotropis,-4.659797,-37.448271,Ceará,,,2026,1,5,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,5938656254,http://creativecommons.org/licenses/by/4.0/legalcode
Calotropis procera,Calotropis procera (Aiton) W.T.Aiton,Apocynaceae,Calotropis,-4.768363,-39.477539,Ceará,,,2026,1,5,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,5938695028,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Cassia fistula,Cassia fistula L.,Fabaceae,Cassia,-3.948746,-38.276104,Ceará,,,2026,1,3,HUMAN_OBSERVATION,PRESENT,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,5938718391,http://creativecommons.org/licenses/by-nc/4.0/legalcode
