basisofrecord	stateprovince	family	genus	species	scientificname	yearcollected	monthcollected	daycollected	county	locality	longitude	latitude	minimumelevation	maximumelevation	notes
PreservedSpecimen	Ceará	Euphorbiaceae	Croton	blanchetianus	Croton blanchetianus	2010	5	3	Tabuleiro do Norte		-38.116667	-5.233333			
PreservedSpecimen	Ceará	Fabaceae	Bauhinia		Bauhinia	2014	03	11	Tabuleiro do Norte	Próximo ao entroncamento.	-38.1306	-5.24667	160		<nO>Inflorescência: botões florais verdes Fruto: passados marrons Habitat: Caatinga Habito: árvore</nO>
PreservedSpecimen	Ceará	Vitaceae	Clematicissus	pruinata	Clematicissus pruinata	2014	03	11	Tabuleiro do Norte	Olha d´água da Bica.	-38.1306	-5.24667	140		
PreservedSpecimen	Ceará	Rubiaceae	Cordiera		Cordiera	2014	03	11	Tabuleiro do Norte		-38.1306	-5.24667	160		<nO>Arbusto, ca. 1m, caule acinzentado. Folhas: levemente discolores Fruto: imaturos esverdeados Indivíduo feminino Habitat: Caatinga Habito: Arbusto</nO>
PreservedSpecimen	Ceará	Erythroxylaceae	Erythroxylum	nummularia	Erythroxylum nummularia	2014	03	11	Tabuleiro do Norte	Olha d´água da Bica.	-38.1306	-5.24667	140		<nO>Folhas: discolores Fruto: verdes Habitat: Caatinga 28Km de Tabuleiro do Norte, Caminho Vilarejo da Serra. Grandes áreas de monocultura de Banana, Fabrica de cimento, retirada de madeira. Fazeda de frutas Habito: árvore</nO>
MachineObservation	Ceará	Convolvulaceae	Ipomoea		Ipomoea				Tabuleiro do Norte		-37.995	-5.421111			
PreservedSpecimen	Ceará	Leguminosae-Pap.	Canavalia	brasiliensis	Canavalia brasiliensis	2008	04	26	Tabuleiro do Norte	Br 116, altura de Tabuleiro.	-38.173889	-5.310833	0	0	<nO>herbácea trepadeira; coletada em caatinga antropizada; relevo plano; substrato cristalino; frequente; flor roxa; n.v. feijão</nO>
PreservedSpecimen	Ceará 	Fabaceae	Centrosema	pascuorum	Centrosema pascuorum	1987	06	27	Tabuleiro do Norte		-38.166667	-5.254167	50	50	<nO>Hábito de crescimento: volúvel; cor do fruto: marrom-claro</nO>
PreservedSpecimen	Ceará	Leguminosae-Mim.	Piptadenia	moniliformis	Piptadenia moniliformis	2008	04	26	Tabuleiro do Norte	Br 116, a direita.	-38.173889	-5.310833	0	0	<nO>arbórea de 2m de altura; coletada em caatinga antropizada; relevo plano; substrato cristalino; frequente. flor amarela; n.v. catanduva.</nO>
PreservedSpecimen	Ceará	Asteraceae	Wedelia	sp.	Wedelia sp.	2008	04	26	Tabuleiro do Norte	Br-116	-38.173889	-5.310833	196	196	<nO>eErva; coletada em caatinga; rara; substrato cristalino; relevo plano; folha compridas estreitas pilosas, pares; flor amarela pedicelada em disco.</nO>
PreservedSpecimen	Ceará	Asteraceae	Wedelia	sp.	Wedelia sp.	2008	04	26	Tabuleiro do Norte	BR-116	-38.173889	-5.310833	169	169	<nO>erva; coletada em caatinga; frequente; substrato cristalino; relevo plano; folha pilares quebradiças; flor amarela, flor em disco. .</nO>
MachineObservation	Ceará	Convolvulaceae	Ipomoea	bahiensis	Ipomoea bahiensis				Limoeiro do Norte	Chapada do Apodi. Margem de estrada	-37.873611	-5.304722			
PreservedSpecimen	Ceará	Fabaceae Faboideae	Centrosema	pascuorum	Centrosema pascuorum	1987	06	27	TABULEIRO DO NORTE	Rodovia Juazeiro do Norte -Russas à 5 km sul do rio Jaguaribe (BR - 116).	-38.16667	-5.26667	50	50	<nO>Bom desenvolvimento vegetativo. Grande produção de sementes, produção de frutos na base da planta. Plantas bastante ramificadas. Produção de frutos subterrâneos. Comida pelo gado. Germoplasma obtido de 5 plantas. Coleta de solo.</nO>
PreservedSpecimen	Ceará	Fabaceae Faboideae	Stylosanthes	humilis	Stylosanthes humilis	1987	06	27	TABULEIRO DO NORTE	Rodovia Juazeiro do Norte - Russa à 5 km sul do rio Jaguaribe (BR - 116).	-38.16667	-5.26667	50	50	<nO>Bom desenvolvimento vegetativo. Ramos com 60 cm. Presença de antracnose.Germoplasma obtido de 1 planta.</nO>
