sample_id,species_common_name,species_scientific_name,species_height_max,species_k,age_years,pruning_count,soil_depth,soil_inclination,soil_quality,soil_coverage,annual_rainfall,altitude,avg_temperature,has_fertilization,has_irrigation,nearby_trees_count,avg_neighbor_distance,wire_context,wire_height,fibonacci_modifier,canopy_ratio,soil_modifier,climate_modifier,management_modifier,total_modifier,estimated_height,annual_growth_m,height_next_year,days_to_wire,risk_status,will_reach_wire
0,Catingueira,Caesalpinia pyramidalis,8.0,0.15,12.91,7,0.71,20.91,BAD,0.6,583.4,306.0,26.9,1,1,4,16.0,URBAN_MEDIUM_VOLTAGE,6.0,0.7199,1.1638,0.2579,1.0167,1.18,0.2177,2.75,0.169,2.92,-1,NORMAL,0
1,Carnauba,Copernicia prunifera,12.0,0.18,0.5,1,0.71,18.29,BAD,0.68,893.9,451.9,28.7,0,1,3,6.6,URBAN_LOW_VOLTAGE,5.5,0.9161,1.1626,0.249,1.0788,1.1,0.2645,0.28,0.545,0.83,6930,NORMAL,1
2,Carnauba,Copernicia prunifera,15.0,0.08,15.8,8,0.86,31.63,REGULAR,0.28,351.7,297.7,28.2,1,1,9,17.6,URBAN_LOW_VOLTAGE,5.5,0.72,1.0934,0.4754,0.9703,1.18,0.3721,5.63,0.275,5.91,0,CRITICAL,1
3,Geoffroea,Geoffroea spinosa,15.0,0.08,0.5,3,0.91,13.6,BAD,0.48,763.5,131.1,30.7,0,1,7,9.4,URBAN_LOW_VOLTAGE,5.5,0.8301,1.1216,0.3637,1.0527,1.1,0.3358,0.2,0.392,0.59,8760,NORMAL,1
4,Craibeira,Tabebuia aurea,14.0,0.11,42.38,7,0.49,2.94,REGULAR,0.07,749.3,151.3,27.5,0,0,8,14.1,URBAN_LOW_VOLTAGE,5.5,0.7199,1.1075,0.3358,1.0499,1.0,0.2424,9.48,0.119,9.6,0,CRITICAL,1
5,Oiticica,Licania rigida,15.0,0.1,35.02,6,1.07,19.92,BAD,0.89,515.0,556.5,25.1,0,0,3,4.4,URBAN_LOW_VOLTAGE,5.5,0.7202,1.1255,0.3267,1.003,1.0,0.2271,8.23,0.152,8.38,0,CRITICAL,1
6,Piptadenia,Piptadenia moniliformis,14.0,0.11,0.5,4,0.36,12.96,REGULAR,0.63,647.0,833.0,31.0,0,1,1,10.5,URBAN_MEDIUM_VOLTAGE,6.0,0.7819,1.2059,0.1796,0.947,1.1,0.1455,0.11,0.221,0.33,18840,NORMAL,1
7,Geoffroea,Geoffroea spinosa,10.0,0.12,6.83,0,0.58,13.84,BAD,0.74,970.6,432.5,25.3,1,1,7,2.8,URBAN_LOW_VOLTAGE,5.5,1.0,0.9365,0.1999,1.08,1.18,0.2259,1.69,0.222,1.91,14190,NORMAL,1
8,Croton,Croton blanchetianus,8.0,0.14,0.5,1,0.69,30.34,BAD,0.53,973.3,691.5,23.5,1,1,2,17.9,URBAN_LOW_VOLTAGE,5.5,0.9161,1.1919,0.2501,0.9936,1.18,0.2656,0.15,0.287,0.44,23820,NORMAL,1
9,Catingueira,Caesalpinia pyramidalis,8.0,0.15,21.42,6,0.87,30.16,GOOD,0.3,798.0,851.8,30.6,1,0,5,5.7,URBAN_LOW_VOLTAGE,5.5,0.7202,1.0991,0.537,0.9748,1.08,0.3875,5.7,0.13,5.83,0,CRITICAL,1
10,Geoffroea,Geoffroea spinosa,10.0,0.12,23.4,0,1.42,24.42,REGULAR,0.05,717.6,458.7,26.7,1,0,4,8.7,URBAN_MEDIUM_VOLTAGE,6.0,1.0,1.1638,0.8987,1.0435,1.08,0.99,9.38,0.069,9.45,0,CRITICAL,1
11,Piptadenia,Piptadenia moniliformis,20.0,0.08,0.5,8,0.32,18.36,GOOD,0.89,976.2,123.4,30.4,1,1,6,15.3,RURAL_DISTRIBUTION,7.0,0.72,1.1356,0.1489,1.08,1.18,0.132,0.11,0.209,0.32,21180,NORMAL,1
12,Juazeiro,Ziziphus joazeiro,10.0,0.12,0.88,8,1.57,6.14,GOOD,0.25,878.6,842.1,27.2,1,1,9,11.1,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.0934,1.0567,0.9897,1.18,0.8436,0.85,0.881,1.73,4050,NORMAL,1
13,Nim,Azadirachta indica,13.0,0.16,24.47,5,0.87,34.33,REGULAR,0.41,620.9,633.8,27.5,1,0,5,13.8,URBAN_MEDIUM_VOLTAGE,6.0,0.7244,1.1497,0.4457,0.9422,1.08,0.3193,9.28,0.185,9.46,0,CRITICAL,1
14,Angico,Anadenanthera colubrina,18.0,0.09,44.48,2,1.14,1.67,BAD,0.87,632.7,763.6,23.8,1,0,5,15.6,URBAN_MEDIUM_VOLTAGE,6.0,0.9068,1.1497,0.3799,0.9444,1.08,0.3415,13.41,0.139,13.55,0,CRITICAL,1
15,Bauhinia,Bauhinia,20.0,0.08,0.5,7,1.78,1.62,GOOD,0.21,793.2,220.2,31.5,0,1,2,13.0,RURAL_DISTRIBUTION,7.0,0.7199,1.1919,1.096,1.0586,1.1,0.9085,0.71,1.352,2.06,2220,NORMAL,1
16,Craibeira,Tabebuia aurea,9.0,0.2,0.5,6,0.55,23.9,BAD,0.61,560.3,556.4,25.1,1,0,3,9.1,URBAN_LOW_VOLTAGE,5.5,0.7202,1.1778,0.1961,1.0121,1.08,0.1518,0.14,0.265,0.41,19770,NORMAL,1
17,Carnauba,Copernicia prunifera,15.0,0.08,0.5,7,1.83,30.49,GOOD,0.07,826.2,285.9,23.7,1,1,4,1.9,URBAN_MEDIUM_VOLTAGE,6.0,0.7199,1.0377,1.0348,1.0652,1.18,0.8681,0.51,0.972,1.48,3000,NORMAL,1
18,Carnauba,Copernicia prunifera,15.0,0.08,0.5,0,1.85,33.53,REGULAR,0.7,250.0,212.7,24.9,0,0,10,12.2,URBAN_LOW_VOLTAGE,5.5,1.0,1.0794,0.6631,0.72,1.0,0.4506,0.27,0.522,0.79,6480,NORMAL,1
19,Euphorbiaceae,Euphorbiaceae sp.,6.0,0.2,0.5,4,0.86,18.7,GOOD,0.12,1198.0,487.2,19.9,1,1,5,14.8,URBAN_LOW_VOLTAGE,5.5,0.7819,1.1497,0.6058,1.08,1.18,0.5867,0.34,0.627,0.97,-1,NORMAL,0
20,Geoffroea,Geoffroea spinosa,15.0,0.08,0.5,6,1.94,36.21,REGULAR,0.08,648.4,128.8,24.3,1,1,10,17.0,URBAN_LOW_VOLTAGE,5.5,0.7202,1.0794,0.8967,1.0297,1.18,0.7405,0.44,0.837,1.28,3840,NORMAL,1
21,Croton,Croton blanchetianus,15.0,0.1,0.5,8,0.86,27.45,BAD,0.06,579.6,143.0,30.3,1,0,1,5.4,URBAN_LOW_VOLTAGE,5.5,0.72,1.1941,0.3958,1.0159,1.08,0.3094,0.23,0.45,0.68,7590,NORMAL,1
22,Bauhinia,Bauhinia,8.0,0.14,0.5,8,1.01,33.4,GOOD,0.8,1035.6,561.8,30.1,1,0,7,8.8,URBAN_LOW_VOLTAGE,5.5,0.72,1.1216,0.4668,1.08,1.08,0.3766,0.21,0.4,0.61,16740,NORMAL,1
23,Carnauba,Copernicia prunifera,18.0,0.09,0.5,5,0.4,12.41,GOOD,0.85,828.6,206.7,23.5,0,0,1,15.2,URBAN_LOW_VOLTAGE,5.5,0.7244,1.2059,0.1958,1.0657,1.0,0.1503,0.12,0.24,0.36,13710,NORMAL,1
24,Geoffroea,Geoffroea spinosa,10.0,0.12,39.2,5,1.62,35.49,BAD,0.0,851.0,134.4,25.4,0,0,0,7.4,URBAN_MEDIUM_VOLTAGE,6.0,0.7244,1.22,0.6889,1.0702,1.0,0.5341,9.19,0.05,9.24,0,CRITICAL,1
25,Algaroba,Prosopis juliflora,12.0,0.18,8.25,0,0.52,18.94,GOOD,0.67,661.4,471.6,22.9,0,1,7,12.1,URBAN_LOW_VOLTAGE,5.5,1.0,1.1216,0.2769,1.0323,1.1,0.302,4.34,0.405,4.75,1920,TO_PRUNE,1
26,Geoffroea,Geoffroea spinosa,10.0,0.12,18.37,1,1.13,40.94,GOOD,0.81,624.8,131.0,28.5,1,1,9,10.3,URBAN_LOW_VOLTAGE,5.5,0.9161,1.0934,0.5015,1.025,1.18,0.5276,6.87,0.192,7.06,0,CRITICAL,1
27,Catingueira,Caesalpinia pyramidalis,8.0,0.15,35.79,1,1.75,29.29,BAD,0.65,512.8,221.1,25.5,1,0,5,8.5,URBAN_MEDIUM_VOLTAGE,6.0,0.9161,1.1497,0.5148,1.0026,1.08,0.4963,7.44,0.04,7.48,0,CRITICAL,1
28,Bauhinia,Bauhinia,15.0,0.08,0.5,1,0.46,3.84,REGULAR,0.09,1157.0,509.6,28.0,1,0,6,7.3,URBAN_MEDIUM_VOLTAGE,6.0,0.9161,1.1289,0.3114,1.08,1.08,0.3206,0.19,0.375,0.56,10470,NORMAL,1
29,Geoffroea,Geoffroea spinosa,10.0,0.12,41.26,0,1.95,27.02,REGULAR,0.09,703.2,444.3,29.8,1,0,4,11.0,URBAN_MEDIUM_VOLTAGE,6.0,1.0,1.1638,0.93,1.0406,1.08,1.0217,9.94,0.007,9.95,0,CRITICAL,1
30,Cenostigma,Cenostigma pyramidale,7.0,0.16,36.92,8,0.34,41.81,BAD,0.24,312.7,291.9,31.4,1,0,2,13.7,RURAL_DISTRIBUTION,7.0,0.72,1.1919,0.1353,0.72,1.08,0.0749,2.5,0.054,2.55,-1,NORMAL,0
31,Oiticica,Licania rigida,12.0,0.18,0.88,7,0.88,16.65,BAD,0.29,1093.8,797.3,26.5,1,1,4,5.1,URBAN_LOW_VOLTAGE,5.5,0.7199,1.1098,0.382,0.9936,1.18,0.3082,0.57,0.617,1.19,5730,NORMAL,1
32,Craibeira,Tabebuia aurea,7.0,0.18,0.5,7,1.2,13.88,GOOD,0.36,736.1,285.2,25.3,1,1,5,3.5,URBAN_LOW_VOLTAGE,5.5,0.7199,1.0372,0.7709,1.0472,1.18,0.6356,0.39,0.715,1.1,-1,NORMAL,0
33,Angico,Anadenanthera colubrina,9.0,0.2,0.5,3,1.15,37.5,REGULAR,0.06,1007.5,524.6,28.9,0,1,0,17.4,URBAN_LOW_VOLTAGE,5.5,0.8301,1.22,0.684,1.08,1.1,0.6745,0.59,1.061,1.65,4260,NORMAL,1
34,Nim,Azadirachta indica,13.0,0.16,37.53,5,0.45,38.0,GOOD,0.39,661.1,786.1,28.6,0,0,8,11.9,URBAN_LOW_VOLTAGE,5.5,0.7244,1.1075,0.2565,0.9496,1.0,0.1685,8.27,0.126,8.4,0,CRITICAL,1
35,Sabiá,Mimosa caesalpiniifolia,8.0,0.15,0.5,2,0.7,6.59,GOOD,0.16,786.0,516.1,28.3,1,1,2,8.8,URBAN_LOW_VOLTAGE,5.5,0.9068,1.1919,0.509,1.0572,1.18,0.5693,0.33,0.628,0.96,10260,NORMAL,1
36,Cenostigma,Cenostigma pyramidale,7.0,0.16,12.72,0,0.9,3.34,REGULAR,0.41,1032.5,466.2,26.6,0,1,9,12.3,URBAN_LOW_VOLTAGE,5.5,1.0,1.0934,0.5252,1.08,1.1,0.5924,4.9,0.19,5.09,-1,UNDER_OBSERVATION,0
37,Juazeiro,Ziziphus joazeiro,10.0,0.12,43.12,7,0.48,40.46,REGULAR,0.88,276.8,54.4,27.3,1,1,4,7.9,URBAN_MEDIUM_VOLTAGE,6.0,0.7199,1.1638,0.1821,0.72,1.18,0.1089,4.31,0.074,4.38,20790,NORMAL,1
38,Algaroba,Prosopis juliflora,12.0,0.18,35.62,5,0.41,4.25,BAD,0.35,501.2,602.7,20.4,0,1,8,7.7,URBAN_MEDIUM_VOLTAGE,6.0,0.7244,1.1075,0.1818,0.9202,1.1,0.1273,6.69,0.12,6.81,0,CRITICAL,1
39,Bauhinia,Bauhinia,8.0,0.14,31.78,8,0.46,30.17,BAD,0.33,639.6,208.5,31.5,0,0,2,2.8,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.139,0.1849,1.0279,1.0,0.1324,3.56,0.082,3.64,-1,NORMAL,0
40,Geoffroea,Geoffroea spinosa,8.0,0.15,1.24,8,0.36,15.15,BAD,0.12,647.0,751.6,34.3,0,1,0,8.3,URBAN_MEDIUM_VOLTAGE,6.0,0.72,1.22,0.17,0.947,1.1,0.1275,0.19,0.148,0.34,-1,NORMAL,0
41,Croton,Croton blanchetianus,7.0,0.16,0.5,7,0.7,10.76,REGULAR,0.81,357.3,522.0,25.7,1,1,2,15.0,URBAN_MEDIUM_VOLTAGE,6.0,0.7199,1.1919,0.3161,0.9715,1.18,0.2579,0.14,0.277,0.42,-1,NORMAL,0
42,Algaroba,Prosopis juliflora,5.0,0.25,0.5,5,1.24,4.62,BAD,0.77,373.1,260.1,21.0,0,1,5,16.9,URBAN_LOW_VOLTAGE,5.5,0.7244,1.1497,0.4355,0.9746,1.1,0.3287,0.2,0.379,0.58,-1,NORMAL,0
43,Oiticica,Licania rigida,15.0,0.08,0.5,1,0.94,1.27,GOOD,0.76,959.0,141.1,20.6,0,1,7,11.7,RURAL_DISTRIBUTION,7.0,0.9161,1.1216,0.5094,1.08,1.1,0.5326,0.32,0.612,0.93,8010,NORMAL,1
